,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
504,tutoia,-2.76,-42.27,86.0,79,75,6.93
505,touros,-5.2,-35.46,84.12,75,52,15.88
506,babati,-4.21,35.75,55.5,97,59,6.11
507,graaff-reinet,-32.25,24.53,60.0,53,19,13.87
508,noumea,-22.28,166.46,64.4,77,0,2.24
509,pilot butte,50.48,-104.42,59.0,33,40,10.29
510,atar,20.52,-13.05,95.0,12,1,9.17
511,valenca do piaui,-6.41,-41.75,84.66,67,58,5.37
512,natchez,31.56,-91.4,87.01,74,1,6.93
513,denpasar,-8.65,115.22,80.6,94,20,8.05
514,loikaw,19.67,97.21,69.18,85,100,3.4
515,madaoua,14.07,5.96,104.1,18,71,3.36
516,malindi,-3.22,40.12,77.0,88,75,9.17
517,along,28.17,94.8,53.88,92,28,4.54
518,bonito,-21.13,-56.49,84.3,49,0,7.72
519,saint anthony,43.97,-111.68,45.0,81,90,3.36
520,high prairie,55.43,-116.48,61.8,34,0,16.46
521,high rock,26.63,-78.28,75.2,83,75,12.75
522,raudeberg,61.99,5.14,69.8,76,20,4.7
523,kununurra,-15.77,128.74,82.4,58,75,6.93
524,mogadishu,2.04,45.34,80.88,79,79,9.78
525,mecca,21.43,39.83,88.62,48,1,1.74
526,viedma,-40.81,-62.99,58.56,41,14,10.98
527,tomatlan,19.93,-105.25,84.66,59,0,7.9
528,lyuban,52.8,28.0,67.92,68,39,12.15
529,bonavista,48.65,-53.11,44.01,74,59,15.99
530,hirara,24.8,125.28,75.48,67,37,26.15
531,russell,-33.01,-68.8,50.0,71,75,12.75
532,burns lake,54.23,-125.76,56.4,62,66,5.21
533,hakkari,61.34,23.75,69.8,46,0,5.82
534,marzuq,14.4,46.47,79.44,36,84,6.02
535,villaviciosa,43.48,-5.43,59.0,71,20,6.93
536,padang,-0.92,100.36,81.24,82,100,7.65
537,matam,15.66,-13.26,102.12,14,1,11.61
538,la seyne-sur-mer,43.1,5.88,69.01,72,0,2.24
539,palu,-0.9,119.87,78.72,80,72,3.83
540,talmenka,53.82,83.56,51.8,76,40,11.18
541,tamworth,-31.09,150.93,44.6,87,64,5.82
542,perth,56.4,-3.43,59.0,82,20,3.36
543,yabrud,33.97,36.66,80.6,32,0,8.05
544,paraiso,24.01,-104.61,84.2,4,5,16.11
545,veraval,49.65,0.71,61.0,62,0,8.05
546,novyy urgal,51.07,132.56,49.74,93,100,2.68
547,tongren,27.72,109.18,55.86,64,4,2.84
